word,is_living,fits_shoebox
COCOON,no,yes
COD,yes,ambiguous
COFFEE,no,yes
COFFIN,no,no
COIN,no,yes
COLESLAW,no,yes
COLLAR,no,yes
COLLEGE,no,no
COLOGNE,no,yes
COLONEL,yes,no
COLT,yes,no
COLUMN,no,no
COMB,no,yes
COMEDIAN,yes,no
COMET,no,no
COMMANDER,yes,no
COMMITTEE,no,no
COMMUNITY,no,no
COMPANION,yes,no
COMPASS,no,yes
COMPUTER,no,no
CONCERT,no,no
CONCRETE,no,yes
CONDUCTOR,yes,no
CONE,no,yes
CONSOLE,no,ambiguous
CONSUMER,yes,no
CONTAINER,no,yes
CONTINENT,no,no
CONTRACT,no,yes
CONTRACTOR,yes,no
CONVENT,no,no
CONVICT,yes,no
COOK,yes,no
COOKBOOK,no,yes
COOKIE,no,yes
COOLER,no,no
COP,yes,no
COPIER,no,no
CORAL,ambiguous,yes
CORD,no,yes
CORK,no,yes
CORN,no,yes
CORPORATION,no,no
COSTUME,no,no
COTTAGE,no,no
COTTON,no,yes
COUCH,no,no
COUGAR,yes,no
COUNTRY,no,no
COUNTY,no,no
COURSE,no,no
COURT,no,no
COUSIN,yes,no
COW,yes,no
COWARD,yes,no
COWBOY,yes,no
COYOTE,yes,no
CRAB,yes,yes
CRACKER,no,yes
CRADLE,no,no
CRATER,no,no
CRAYON,no,yes
CREAM,no,yes
CREATURE,yes,ambiguous
CREEK,no,no
CREVICE,no,no
CREW,no,no
CRIB,no,no
CRICKET,yes,yes
CRIMINAL,yes,no
CRITIC,yes,no
CROCODILE,yes,no
CROOK,yes,no
CROSS,no,yes
CROW,yes,yes
CROWN,no,yes
CRUMB,no,yes
CRUTCH,no,no
CRYSTAL,no,yes
CUB,yes,yes
CUBE,no,yes
CUCUMBER,no,yes
CUE,no,no
CUFF,no,yes
CUP,no,yes
CUPBOARD,no,no
CURB,no,no
CURTAIN,no,no
CUSHION,no,ambiguous
CUSTARD,no,yes
CUSTOMER,yes,no
CYCLONE,no,no
CYLINDER,no,yes
DAD,yes,no
DAGGER,no,yes
DAISY,yes,yes
DAM,no,no
DANCER,yes,no
DANDELION,yes,yes
DANDRUFF,no,yes
DART,no,yes
DASHBOARD,no,no
DAUGHTER,yes,no
DECK,no,no
DEER,yes,no
DELINQUENT,yes,no
DENIM,no,yes
DENTIST,yes,no
DEODORANT,no,yes
DEPARTMENT,no,no
DEPUTY,yes,no
DESIGNER,yes,no
DESK,no,no
DESSERT,no,yes
DETECTIVE,yes,no
DETERGENT,no,yes
DIAGRAM,no,yes
DIAL,no,yes
DIAMOND,no,yes
DIAPER,no,yes
DIARY,no,yes
DICE,no,yes
DICTATOR,yes,no
DICTIONARY,no,yes
DIGGER,ambiguous,no
DILL,no,yes
DIME,no,yes
DINER,ambiguous,no
DINNER,no,no
DINOSAUR,ambiguous,no
DIPLOMA,no,yes
DIRECTOR,yes,no
DIRT,no,yes
DISC,no,yes
DISH,no,yes
DISHWASHER,no,no
DIVER,yes,no
DOCK,no,no
DOCTOR,yes,no
DOCUMENT,no,yes
DOG,yes,no
DOLL,no,yes
DOLLAR,no,yes
DOLPHIN,yes,no
DONKEY,yes,no
DONOR,yes,no
DOOR,no,no
DOORBELL,no,yes
DORM,no,no
DOUGH,no,yes
DOUGHNUT,no,yes
DOVE,yes,yes
DRAGON,ambiguous,no
DRAWER,no,no
DRAWING,no,yes
DRESS,no,no
DRESSER,no,no
DRILL,no,yes
DRINK,no,yes
DRIVER,yes,no
DRIVEWAY,no,no
DRUG,no,yes
DRUM,no,no
DRYER,no,no
DUCK,yes,yes
DUMP,no,no
DUNE,no,no
DUNGEON,no,no
DUST,no,yes
DUSTPAN,no,yes
DWARF,ambiguous,no
DYNAMITE,no,yes
EAGLE,yes,no
EAR,no,yes
EARRING,no,yes
EARTH,no,no
EDITOR,yes,no
EDITORIAL,no,yes
EGG,no,yes
EGYPT,no,no
ELBOW,no,yes
ELECTRICIAN,yes,no
ELECTRON,no,yes
ELEPHANT,yes,no
ELEVATOR,no,no
ELF,ambiguous,no
ELK,yes,no
ELM,yes,no
EMERALD,no,yes
EMPEROR,yes,no
EMPIRE,no,no
EMPLOYEE,yes,no
EMPLOYER,yes,no
ENCYCLOPEDIA,no,ambiguous
ENEMY,yes,no
ENGINE,no,no
ENGINEER,yes,no
ENVELOPE,no,yes
ERASER,no,yes
ESCALATOR,no,no
ESSAY,no,yes
EUROPE,no,no
EWE,yes,no
EXPERT,yes,no
EXPLOSION,no,no
EYE,no,yes
EYELASH,no,yes
FACE,no,no
FACTORY,no,no
FAIRY,ambiguous,no
FAMILY,no,no
FAN,no,ambiguous
FARM,no,no
FARMER,yes,no
FATHER,yes,no
FAUCET,no,yes
FEAST,no,no
FEATHER,no,yes
FELLOW,yes,no
FEMALE,yes,no
FENCE,no,no
FIDDLE,no,ambiguous
FIELD,no,no
FIG,no,yes
FIGHTER,yes,no
FILM,no,yes
FIN,no,yes
FINGER,no,yes
FINGERNAIL,no,yes
FIREMAN,yes,no
FIREPLACE,no,no
FISH,yes,yes
FIST,no,yes
FLAG,no,no
FLANNEL,no,no
FLASHLIGHT,no,yes
FLASK,no,yes
FLEA,yes,yes
FLEET,no,no
FLESH,no,yes
FLIPPER,no,ambiguous
FLOOR,no,no
FLORIDA,no,no
FLOUR,no,yes
FLOWER,yes,yes
FLUTE,no,no
FLY,yes,yes
FOE,yes,no
FOLDER,no,yes
FOLLOWER,yes,no
FOOT,no,ambiguous
FOOTBALL,no,yes
FOREHEAD,no,yes
FOREST,no,no
FORK,no,yes
FORT,no,no
FOSSIL,no,yes
FOUNTAIN,no,no
FOX,yes,no
FRAGRANCE,no,yes
FRAME,no,yes
FRANCE,no,no
FRECKLE,no,yes
FREEWAY,no,no
FREEZER,no,no
FRIAR,yes,no
FRIEND,yes,no
FRIES,no,yes
FROG,yes,yes
FROST,no,yes
FRUIT,no,yes
FUDGE,no,yes
FUGITIVE,yes,no
FUNERAL,no,no
FUNGUS,ambiguous,yes
FUR,no,yes
FURNITURE,no,no
GALAXY,no,no
GALLON,no,ambiguous
GANG,no,no
GANGSTER,yes,no
GARAGE,no,no
GARBAGE,no,ambiguous
GARDEN,no,no
GARLIC,no,yes
GATE,no,no
GAUZE,no,yes
GAVEL,no,yes
GAZELLE,yes,no
GEM,no,yes
GENERAL,yes,no
GENTLEMAN,yes,no
GERM,ambiguous,yes
GHETTO,no,no
GHOST,ambiguous,no
GIFT,no,yes
GIRAFFE,yes,no
GIRL,yes,no
GLACIER,no,no
GLASS,no,yes
GLASSES,no,yes
GLOBE,no,yes
GLOVE,no,yes
GLUE,no,yes
GOAT,yes,no
GOBLIN,ambiguous,no
GODDESS,ambiguous,no
GOLD,no,yes
GOO,no,yes
GOOSE,yes,ambiguous
GORILLA,yes,no
GOVERNOR,yes,no
GOWN,no,no
GRADUATE,yes,no
GRAPE,no,yes
GRASS,yes,yes
GRASSHOPPER,yes,yes
GRATE,no,yes
GRAVE,no,no
GRAVEL,no,yes
GREASE,no,yes
GRILL,no,no
GRIZZLY,yes,no
GROCERIES,no,no
GROCERY,no,no
GROOM,yes,no
GROUND,no,no
GUARD,yes,no
GUARDIAN,yes,no
GUEST,yes,no
GUITAR,no,no
GULL,yes,yes
GUM,no,yes
GUN,no,yes
GYM,no,no
GYMNAST,yes,no
HAIL,no,yes
HALL,no,no
HAM,no,yes
HAMBURGER,no,yes
HAMMER,no,yes
HAMMOCK,no,no
HAMPER,no,no
HAND,no,yes
HANDBAG,no,ambiguous
HANDCUFFS,no,yes
HANDKERCHIEF,no,yes
HANGER,no,yes
HARE,yes,yes
HARP,no,no
HAT,no,yes
HATCHET,no,yes
HAWK,yes,no
HAY,no,ambiguous
HAYSTACK,no,no
HEAD,no,ambiguous
HEADBAND,no,yes
HEART,no,yes
HEATER,no,no
HEDGE,yes,no
HEEL,no,yes
HELICOPTER,no,no
HELMET,no,yes
HEN,yes,yes
HERB,ambiguous,yes
HERD,no,no
HERO,yes,no
HIGHWAY,no,no
HIKER,yes,no
HINGE,no,yes
HIP,no,no
HOE,no,no
HOME,no,no
HONEY,no,yes
HOOD,no,no
HOOK,no,yes
HOOP,no,ambiguous
HORIZON,no,no
HORNET,yes,yes
HORSE,yes,no
HOSE,no,ambiguous
HOSPITAL,no,no
HOSTAGE,yes,no
HOSTESS,yes,no
HOUND,yes,no
HOUSE,no,no
HUMAN,yes,no
HURRICANE,no,no
HUSBAND,yes,no
HUT,no,no
ICE,no,yes
ICEBERG,no,no
ICING,no,yes
IDOL,no,yes
IGLOO,no,no
INCENSE,no,yes
INDIAN,yes,no
INFANT,yes,no
INMATE,yes,no
INN,no,no
INSECT,yes,yes
INSTRUCTOR,yes,no
INTESTINE,no,no
INVENTOR,yes,no
IRON,no,yes
ISLAND,no,no
ITEM,no,yes
JACKET,no,no
JAM,no,yes
JAPAN,no,no
JAR,no,yes
JAW,no,no
JEANS,no,no
JEEP,no,no
JELLO,no,yes
JELLY,no,yes
JET,no,no
JEWEL,no,yes
JOINT,no,yes
JOKER,yes,no
JOURNAL,no,yes
JUDGE,yes,no
JUG,no,yes
JUGGLER,yes,no
JUNGLE,no,no
JUPITER,no,no
JURY,no,no
JUVENILE,yes,no
KANGAROO,yes,no
KEEPER,yes,no
KEG,no,no
KETCHUP,no,yes
KETTLE,no,yes
KEY,no,yes
KEYBOARD,no,ambiguous
KID,yes,no
KIDNEY,no,yes
KING,yes,no
KITCHEN,no,no
KITE,no,no
KITTEN,yes,yes
KIWI,ambiguous,ambiguous
KLEENEX,no,yes
KNAPSACK,no,yes
KNEE,no,yes
KNIFE,no,yes
KNIGHT,yes,no
KNOB,no,yes
KNOT,no,yes
KNUCKLE,no,yes
LABEL,no,yes
LABYRINTH,no,no
LACE,no,yes
LADDER,no,no
LADY,yes,no
LAGOON,no,no
LAKE,no,no
LAMB,yes,yes
LAMP,no,ambiguous
LANDSCAPE,no,no
LAPEL,no,yes
LASER,no,yes
LASH,no,yes
LAUNDRY,no,no
LAVA,no,ambiguous
LAWN,no,no
LAWYER,yes,no
LEADER,yes,no
LEAF,ambiguous,yes
LEG,no,no
LEMON,no,yes
LENS,no,yes
LEOPARD,yes,no
LETTER,no,yes
LETTUCE,no,yes
LEVER,no,yes
LIBRARY,no,no
LID,no,yes
LIEUTENANT,yes,no
LIGHTER,no,yes
LIGHTNING,no,no
LILY,yes,yes
LIMB,no,no
LIME,no,yes
LIMOUSINE,no,no
LINEN,no,ambiguous
LINT,no,yes
LION,yes,no
LIP,no,yes
LIPSTICK,no,yes
LIST,no,yes
LITERATURE,no,yes
LITTER,no,yes
LIVER,no,ambiguous
LIZARD,yes,yes
LOAF,no,yes
LOBBY,no,no
LOBSTER,yes,ambiguous
LOCK,no,yes
LODGE,no,no
LOFT,no,no
LOG,no,no
LOLLIPOP,no,yes
LONDON,no,no
LOOP,no,yes
LOUNGE,no,no
LOVER,yes,no
LUGGAGE,no,no
LUMBER,no,no
LUNCH,no,no
LUNG,no,ambiguous
MACARONI,no,yes
MACHINE,no,no
MAGAZINE,no,yes
MAGICIAN,yes,no
MAGNET,no,yes
MAID,yes,no
MAILBOX,no,no
MAILMAN,yes,no
MAJOR,yes,no
MALL,no,no
MAMMAL,yes,no
MAN,yes,no
MANAGER,yes,no
MANSION,no,no
MAP,no,yes
MAPLE,yes,no
MARBLE,no,yes
MARGARINE,no,yes
MARINE,yes,no
MARKER,no,yes
MARKET,no,no
MARROW,ambiguous,yes
MARS,no,no
MARSH,no,no
MASCARA,no,yes
MASK,no,yes
MAT,no,yes
MATCH,no,yes
MATTRESS,no,no
MAYONNAISE,no,yes
MEADOW,no,no
MEAL,no,no
MEAT,no,yes
MECHANIC,yes,no
MEDAL,no,yes
MEDICINE,no,yes
MERMAID,ambiguous,no
MESSAGE,no,yes
METEOR,no,no
MICROPHONE,no,yes
MICROSCOPE,no,ambiguous
MICROWAVE,no,no
MILDEW,ambiguous,yes
MILITARY,no,no
MILK,no,yes
MINER,yes,no
MINK,yes,ambiguous
MINT,ambiguous,yes
MIRROR,no,yes
MISSILE,no,no
MISTER,yes,no
MITTEN,no,yes
MOAT,no,no
MOB,no,no
MOLECULE,no,yes
MONARCH,yes,ambiguous
MONASTERY,no,no
MONEY,no,yes
MONGOOSE,yes,yes
MONK,yes,no
MONKEY,yes,ambiguous
MONSTER,ambiguous,no
MONUMENT,no,no
MOON,no,no
MOOSE,yes,no
MOP,no,no
MOSQUITO,yes,yes
MOSS,yes,yes
MOTEL,no,no
MOTH,yes,yes
MOTHER,yes,no
MOTOR,no,yes
MOTORCYCLE,no,no
MOUNTAIN,no,no
MOUSE,yes,yes
MOUTH,no,yes
MOVIE,no,no
MOWER,no,no
MUFFIN,no,yes
MUG,no,yes
MULE,yes,no
MUMMY,ambiguous,no
MUSEUM,no,no
MUSHROOM,yes,yes
MUSTARD,no,yes
NAIL,no,yes
NAPKIN,no,yes
NAVIGATOR,yes,no
NECK,no,ambiguous
NECKLACE,no,yes
NEEDLE,no,yes
NEPHEW,yes,no
NEPTUNE,no,no
NERVE,no,yes
NEST,no,yes
NET,no,yes
NEUTRON,no,yes
NEWSPAPER,no,yes
NEWSSTAND,no,no
NICKEL,no,yes
NICOTINE,no,yes
NIECE,yes,no
NIGHTGOWN,no,no
NITROGEN,no,yes
NOMAD,yes,no
NOOSE,no,yes
NOSE,no,yes
NOTE,no,yes
NOTEBOOK,no,yes
NOVEL,no,yes
NUCLEUS,no,yes
NUN,yes,no
NURSE,yes,no
NURSERY,no,no
NUT,no,yes
OAR,no,no
OATMEAL,no,yes
OATS,no,yes
OBOE,no,no
OCEAN,no,no
OCTOPUS,yes,ambiguous
OFFICE,no,no
OFFICER,yes,no
OINTMENT,no,yes
OLIVE,no,yes
OMELET,no,yes
ONION,no,yes
OPERA,no,no
OPERATOR,yes,no
ORANGE,no,yes
ORCHESTRA,no,no
ORCHID,yes,yes
OREGANO,no,yes
ORGAN,no,ambiguous
ORNAMENT,no,yes
OTTER,yes,ambiguous
OUTDOORS,no,no
OUTFIT,no,no
OUTLAW,yes,no
OVAL,no,ambiguous
OVEN,no,no
OWL,yes,no
OWNER,yes,no
OX,yes,no
OYSTER,yes,yes
OZONE,no,no
PACKAGE,no,yes
PAD,no,yes
PADDING,no,yes
PADDLE,no,ambiguous
PAGE,no,yes
PAIL,no,yes
PAINT,no,yes
PAINTER,yes,no
PAINTING,no,no
PALACE,no,no
PALM,ambiguous,ambiguous
PAN,no,yes
PANTHER,yes,no
PANTS,no,no
PAPER,no,yes
PARCEL,no,yes
PARENT,yes,no
PARIS,no,no
PARROT,yes,yes
PARSLEY,ambiguous,yes
PARTNER,yes,no
PARTY,no,no
PASSAGE,no,no
PASSENGER,yes,no
PASTA,no,yes
PASTRY,no,yes
PATH,no,no
PATIENT,yes,no
PATIO,no,no
PATRIOT,yes,no
PATROL,no,no
PAVEMENT,no,no
PAW,no,yes
PAWN,no,yes
PEACH,no,yes
PEANUT,no,yes
PEAR,no,yes
PEARL,no,yes
PEBBLE,no,yes
PECAN,no,yes
PEDAL,no,yes
PEDESTRIAN,yes,no
PELICAN,yes,no
PELT,no,yes
PEN,no,yes
PENCIL,no,yes
PENDULUM,no,yes
PENGUIN,yes,no
PENNY,no,yes
PEOPLE,ambiguous,no
PEPPER,no,yes
PERCH,ambiguous,yes
PERFUME,no,yes
PERISCOPE,no,no
PERMIT,no,yes
PERSON,yes,no
PERSONNEL,no,no
PHILOSOPHER,yes,no
PHOTO,no,yes
PHYSICIAN,yes,no
PIANO,no,no
PICK,no,ambiguous
PICKLE,no,yes
PICNIC,no,no
PICTURE,no,yes
PIE,no,yes
PIER,no,no
PIG,yes,no
PIGEON,yes,yes
PIGMENT,no,yes
PIKE,ambiguous,no
PILL,no,yes
PILLOW,no,ambiguous
PILOT,yes,no
PIMPLE,no,yes
PIN,no,yes
PIPE,no,yes
PIRATE,yes,no
PISTOL,no,yes
PISTON,no,yes
PIT,no,ambiguous
PITCHFORK,no,no
PIZZA,no,ambiguous
PLAID,no,yes
PLANE,no,ambiguous
PLANET,no,no
PLANT,yes,yes
PLAQUE,no,yes
PLASTER,no,yes
PLATE,no,yes
PLAYGROUND,no,no
PLAZA,no,no
PLIERS,no,yes
PLUM,no,yes
PLUMBER,yes,no
PLUTO,no,no
POCKET,no,yes
POCKETBOOK,no,yes
POET,yes,no
POISON,no,yes
POLE,no,no
POLICE,no,no
POLITICIAN,yes,no
POLYESTER,no,yes
POND,no,no
PONY,yes,no
POOL,no,no
POPCORN,no,yes
POPE,yes,no
PORCH,no,no
PORCUPINE,yes,no
PORK,no,yes
PORPOISE,yes,no
PORT,no,no
PORTRAIT,no,no
POSSUM,yes,yes
POSTAGE,no,yes
POT,no,yes
POTATO,no,yes
POTTERY,no,yes
POWDER,no,yes
PRAIRIE,no,no
PREACHER,yes,no
PREDATOR,yes,no
PRESIDENT,yes,no
PRIEST,yes,no
PRIMATE,yes,no
PRINCE,yes,no
PRINCESS,yes,no
PRINTER,no,ambiguous
PRISON,no,no
PRISONER,yes,no
PRODUCER,yes,no
PROFESSIONAL,yes,no
PROFESSOR,yes,no
PROTON,no,yes
PROTRACTOR,no,yes
PRUNE,no,yes
PUB,no,no
PUBLICATION,no,yes
PUBLISHER,ambiguous,no
PUCK,no,yes
PUDDING,no,yes
PUDDLE,no,yes
PUMP,no,yes
PUMPKIN,no,no
PUPIL,ambiguous,ambiguous
PUPPY,yes,yes
PURSE,no,yes
PUZZLE,no,yes
QUAIL,yes,yes
QUARTER,no,yes
QUEEN,yes,no
QUILL,no,yes
QUILT,no,no
RABBIT,yes,yes
RACCOON,yes,no
RACK,no,no
RACKET,no,ambiguous
RADIATOR,no,no
RADIO,no,yes
RADISH,no,yes
RAFT,no,no
RAG,no,yes
RAIL,no,no
RAILROAD,no,no
RAISIN,no,yes
RAKE,no,no
RAM,yes,no
RANCH,no,no
RASH,no,ambiguous
RASPBERRY,no,yes
RAT,yes,yes
RATTLE,no,yes
RAZOR,no,yes
REBEL,yes,no
RECEIPT,no,yes
RECEPTIONIST,yes,no
RECIPE,no,yes
RECORD,no,yes
REEF,ambiguous,no
REFEREE,yes,no
REFRIGERATOR,no,no
REGISTER,no,no
REINDEER,yes,no
RELATIVE,yes,no
RELISH,no,yes
REPORT,no,yes
REPTILE,yes,no
RESORT,no,no
RESTAURANT,no,no
RIB,no,yes
RIBBON,no,yes
RICE,no,yes
RIDER,yes,no
RIFLE,no,no
RING,no,yes
RIVER,no,no
ROACH,yes,yes
ROAD,no,no
ROBBER,yes,no
ROBE,no,no
ROBIN,yes,yes
ROBOT,no,ambiguous
ROCK,no,yes
ROCKET,no,no
ROD,no,no
RODENT,yes,yes
ROOF,no,no
ROOM,no,no
ROOMMATE,yes,no
ROOST,no,no
ROOSTER,yes,no
ROOT,no,yes
ROPE,no,yes
ROSE,yes,yes
ROUGE,no,yes
RUBY,no,yes
RUG,no,no
RULER,no,yes
RUM,no,yes
RUNNER,yes,no
RUST,no,yes
SACK,no,yes
SADDLE,no,no
SAGE,no,yes
SAILOR,yes,no
SALAD,no,yes
SALESMAN,yes,no
SALIVA,no,yes
SALMON,yes,ambiguous
SALOON,no,no
SALT,no,yes
SAND,no,yes
SANDPAPER,no,yes
SANDWICH,no,yes
SAP,no,yes
SAPPHIRE,no,yes
SARDINE,yes,yes
SATURN,no,no
SAUCER,no,yes
SAUSAGE,no,yes
SAW,no,yes
SAXOPHONE,no,no
SCALE,no,ambiguous
SCALLOP,yes,yes
SCALPEL,no,yes
SCAPEGOAT,yes,no
SCARECROW,no,no
SCARF,no,yes
SCENERY,no,no
SCHOOL,no,no
SCIENTIST,yes,no
SCISSORS,no,yes
SCOTCH,no,yes
SCOUT,yes,no
SCREEN,no,no
SCREW,no,yes
SCREWDRIVER,no,yes
SCRIBBLE,no,yes
SCROLL,no,yes
SCULPTURE,no,no
SEA,no,no
SEAFOOD,no,yes
SEAGULL,yes,yes
SEAL,yes,no
SEASHORE,no,no
SEAT,no,no
SECRETARY,yes,no
SEED,no,yes
SENATE,no,no
SENATOR,yes,no
SERGEANT,yes,no
SERPENT,yes,no
SERVANT,yes,no
SERVER,ambiguous,no
SHACK,no,no
SHAMPOO,no,yes
SHARK,yes,no
SHEARS,no,yes
SHED,no,no
SHEEP,yes,no
SHEET,no,no
SHELF,no,no
SHELL,no,yes
